Date ,Temperature_Max,Temperature_Ave,Temperature_Min,DewPoint_Max,DewPoint_Ave,DewPoint_Min,Humidity_Max,Humidity_Ave,Humidity_Min,Apparent_Temperature
1/1/1950,43,39,34,-999,-999,-999,73,68,58,39
1/2/1950,52,45,38,-999,-999,-999,82,71,52,45
1/3/1950,61,52,43,-999,-999,-999,93,87,78,52
1/4/1950,68,62,55,-999,-999,-999,87,77,63,62
1/5/1950,66,58,50,-999,-999,-999,93,83,68,58
1/6/1950,70,60,50,-999,-999,-999,100,80,61,60
1/7/1950,66,51,35,-999,-999,-999,90,55,36,51
1/8/1950,38,33,28,-999,-999,-999,69,49,34,33
1/9/1950,52,41,30,-999,-999,-999,72,57,43,41
1/10/1950,68,59,49,-999,-999,-999,86,70,47,59
1/11/1950,60,46,32,-999,-999,-999,61,34,25,46
1/12/1950,37,33,28,-999,-999,-999,100,74,56,33
1/13/1950,53,45,37,-999,-999,-999,97,91,79,45
1/14/1950,62,53,44,-999,-999,-999,93,55,23,53
1/15/1950,46,40,33,-999,-999,-999,74,56,33,40
1/16/1950,52,45,38,-999,-999,-999,86,50,22,45
1/17/1950,41,35,29,-999,-999,-999,68,45,33,35
1/18/1950,58,46,34,-999,-999,-999,93,75,55,46
1/19/1950,40,33,26,-999,-999,-999,89,64,43,33
1/20/1950,34,28,22,-999,-999,-999,67,50,42,28
1/21/1950,42,36,30,-999,-999,-999,82,63,40,36
1/22/1950,51,43,34,-999,-999,-999,89,73,54,43
1/23/1950,57,49,40,-999,-999,-999,93,78,64,49
1/24/1950,68,56,44,-999,-999,-999,97,82,57,56
1/25/1950,63,54,44,-999,-999,-999,100,88,70,54
1/26/1950,75,66,56,-999,-999,-999,87,71,51,66
1/27/1950,63,47,31,-999,-999,-999,93,65,49,47
1/28/1950,42,33,24,-999,-999,-999,100,70,57,33
1/29/1950,56,47,38,-999,-999,-999,96,84,64,47
1/30/1950,55,44,32,-999,-999,-999,93,86,76,44
1/31/1950,41,36,30,-999,-999,-999,96,88,82,36
2/1/1950,40,37,33,-999,-999,-999,97,93,89,37
2/2/1950,47,41,35,-999,-999,-999,100,90,63,41
2/3/1950,44,38,32,-999,-999,-999,63,46,36,38
2/4/1950,46,38,30,-999,-999,-999,56,46,33,38
2/5/1950,42,36,30,-999,-999,-999,65,54,45,36
2/6/1950,47,41,35,-999,-999,-999,86,78,64,41
2/7/1950,47,39,30,-999,-999,-999,89,72,45,39
2/8/1950,41,31,21,-999,-999,-999,79,62,49,31
2/9/1950,53,46,38,-999,-999,-999,96,86,68,46
2/10/1950,43,40,37,-999,-999,-999,93,84,71,40
2/11/1950,51,45,38,-999,-999,-999,97,79,59,45
2/12/1950,50,43,35,-999,-999,-999,97,76,59,43
2/13/1950,44,40,36,-999,-999,-999,97,90,79,40
2/14/1950,44,40,36,-999,-999,-999,97,94,92,40
2/15/1950,50,46,42,-999,-999,-999,100,85,68,46
2/16/1950,43,41,38,-999,-999,-999,68,57,47,41
2/17/1950,40,37,34,-999,-999,-999,67,58,50,37
2/18/1950,47,41,34,-999,-999,-999,76,57,41,41
2/19/1950,44,38,32,-999,-999,-999,82,58,41,38
2/20/1950,32,24,16,-999,-999,-999,60,38,19,24
2/21/1950,34,25,15,-999,-999,-999,67,47,31,25
2/22/1950,41,36,31,-999,-999,-999,100,85,69,36
2/23/1950,48,41,34,-999,-999,-999,100,62,30,41
2/24/1950,52,42,31,-999,-999,-999,69,52,31,42
2/25/1950,37,32,26,-999,-999,-999,75,45,33,32
2/26/1950,31,26,21,-999,-999,-999,60,47,34,26
2/27/1950,32,26,20,-999,-999,-999,78,46,34,26
2/28/1950,42,32,22,-999,-999,-999,68,57,42,32
3/1/1950,50,41,32,-999,-999,-999,76,49,28,41
3/2/1950,32,25,17,-999,-999,-999,68,44,32,25
3/3/1950,34,25,15,-999,-999,-999,54,40,20,25
3/4/1950,36,28,19,-999,-999,-999,72,48,35,28
3/5/1950,56,40,24,-999,-999,-999,88,65,37,40
3/6/1950,51,42,33,-999,-999,-999,58,32,8,42
3/7/1950,41,34,27,-999,-999,-999,83,52,36,34
3/8/1950,54,45,36,-999,-999,-999,100,88,60,45
3/9/1950,38,32,26,-999,-999,-999,61,45,32,32
3/10/1950,43,34,24,-999,-999,-999,57,40,21,34
3/11/1950,48,38,28,-999,-999,-999,97,79,41,38
3/12/1950,59,49,39,-999,-999,-999,100,87,72,49
3/13/1950,45,41,36,-999,-999,-999,100,89,57,41
3/14/1950,43,38,32,-999,-999,-999,61,45,30,38
3/15/1950,57,44,30,-999,-999,-999,67,40,22,44
3/16/1950,44,36,27,-999,-999,-999,88,58,42,36
3/17/1950,46,37,28,-999,-999,-999,78,60,44,37
3/18/1950,46,39,31,-999,-999,-999,82,48,30,39
3/19/1950,45,35,24,-999,-999,-999,73,48,26,35
3/20/1950,49,38,27,-999,-999,-999,93,64,38,38
3/21/1950,50,45,39,-999,-999,-999,100,82,59,45
3/22/1950,43,41,39,-999,-999,-999,100,87,76,41
3/23/1950,46,41,36,-999,-999,-999,97,82,58,41
3/24/1950,62,51,40,-999,-999,-999,90,60,37,51
3/25/1950,51,46,41,-999,-999,-999,89,64,44,46
3/26/1950,48,43,38,-999,-999,-999,79,63,50,43
3/27/1950,68,55,42,-999,-999,-999,100,82,65,55
3/28/1950,75,64,53,-999,-999,-999,90,66,26,64
3/29/1950,57,45,33,-999,-999,-999,86,64,39,45
3/30/1950,46,38,30,-999,-999,-999,61,43,25,38
3/31/1950,50,40,29,-999,-999,-999,62,45,24,40
4/1/1950,54,45,35,-999,-999,-999,70,59,37,45
4/2/1950,62,52,42,-999,-999,-999,80,58,27,52
4/3/1950,72,61,49,-999,-999,-999,83,69,48,61
4/4/1950,74,65,55,-999,-999,-999,84,71,56,65
4/5/1950,65,54,43,-999,-999,-999,84,59,30,54
4/6/1950,46,39,31,-999,-999,-999,58,43,27,39
4/7/1950,54,41,27,-999,-999,-999,51,32,18,41
4/8/1950,59,48,37,-999,-999,-999,83,44,25,48
4/9/1950,51,41,30,-999,-999,-999,82,45,28,41
4/10/1950,47,41,35,-999,-999,-999,71,53,40,41
