Date ,Temperature_Max,Temperature_Ave,Temperature_Min,DewPoint_Max,DewPoint_Ave,DewPoint_Min,Humidity_Max,Humidity_Ave,Humidity_Min,Apparent_Temperature
1/1/1950,9,3,-3,-999,-999,-999,83,77,72,3
1/2/1950,-1,-6,-11,-999,-999,-999,75,71,62,-6
1/3/1950,-11,-15,-19,-999,-999,-999,70,62,53,-15
1/4/1950,-7,-20,-32,-999,-999,-999,70,59,35,-20
1/5/1950,9,-7,-22,-999,-999,-999,79,68,52,-7
1/6/1950,21,3,-16,-999,-999,-999,82,71,49,3
1/7/1950,2,-10,-21,-999,-999,-999,83,72,54,-10
1/8/1950,12,2,-8,-999,-999,-999,87,75,63,2
1/9/1950,0,-6,-11,-999,-999,-999,82,75,69,-6
1/10/1950,-3,-11,-18,-999,-999,-999,75,66,52,-11
1/11/1950,25,6,-14,-999,-999,-999,80,71,57,6
1/12/1950,-1,-8,-15,-999,-999,-999,74,64,52,-8
1/13/1950,-8,-16,-23,-999,-999,-999,78,68,34,-16
1/14/1950,-15,-22,-29,-999,-999,-999,73,66,58,-22
1/15/1950,-15,-20,-25,-999,-999,-999,74,68,62,-20
1/16/1950,-6,-15,-24,-999,-999,-999,77,68,60,-15
1/17/1950,-11,-21,-31,-999,-999,-999,82,71,60,-21
1/18/1950,-5,-25,-44,-999,-999,-999,82,69,52,-25
1/19/1950,1,-11,-23,-999,-999,-999,82,68,58,-11
1/20/1950,11,5,-2,-999,-999,-999,83,75,63,5
1/21/1950,25,15,4,-999,-999,-999,85,76,66,15
1/22/1950,12,4,-5,-999,-999,-999,80,76,72,4
1/23/1950,5,-2,-9,-999,-999,-999,80,75,68,-2
1/24/1950,6,-7,-20,-999,-999,-999,82,71,53,-7
1/25/1950,-20,-26,-32,-999,-999,-999,77,63,48,-26
1/26/1950,-11,-25,-38,-999,-999,-999,78,69,52,-25
1/27/1950,-7,-18,-28,-999,-999,-999,78,69,51,-18
1/28/1950,-1,-10,-18,-999,-999,-999,79,74,56,-10
1/29/1950,-7,-20,-32,-999,-999,-999,78,69,56,-20
1/30/1950,-10,-23,-35,-999,-999,-999,78,68,54,-23
1/31/1950,6,-14,-34,-999,-999,-999,77,65,33,-14
2/1/1950,8,-9,-25,-999,-999,-999,78,68,47,-9
2/2/1950,15,3,-9,-999,-999,-999,78,64,50,3
2/3/1950,25,7,-11,-999,-999,-999,82,66,38,7
2/4/1950,21,2,-17,-999,-999,-999,84,73,48,2
2/5/1950,27,13,-2,-999,-999,-999,85,77,60,13
2/6/1950,26,18,10,-999,-999,-999,85,80,73,18
2/7/1950,36,25,13,-999,-999,-999,89,82,67,25
2/8/1950,35,19,2,-999,-999,-999,88,77,63,19
2/9/1950,37,18,-1,-999,-999,-999,87,76,59,18
2/10/1950,19,6,-8,-999,-999,-999,83,71,61,6
2/11/1950,8,-2,-11,-999,-999,-999,82,77,67,-2
2/12/1950,15,11,6,-999,-999,-999,88,80,76,11
2/13/1950,14,4,-7,-999,-999,-999,84,80,73,4
2/14/1950,6,-3,-11,-999,-999,-999,81,78,73,-3
2/15/1950,20,7,-7,-999,-999,-999,87,78,65,7
2/16/1950,28,11,-6,-999,-999,-999,88,81,74,11
2/17/1950,26,13,0,-999,-999,-999,92,83,75,13
2/18/1950,9,-1,-11,-999,-999,-999,83,75,63,-1
2/19/1950,10,0,-10,-999,-999,-999,80,74,62,0
2/20/1950,15,4,-7,-999,-999,-999,83,73,64,4
2/21/1950,20,11,1,-999,-999,-999,88,72,57,11
2/22/1950,28,13,-2,-999,-999,-999,84,78,71,13
2/23/1950,7,-1,-8,-999,-999,-999,83,73,59,-1
2/24/1950,4,-1,-5,-999,-999,-999,83,76,66,-1
2/25/1950,10,2,-6,-999,-999,-999,83,74,61,2
2/26/1950,24,9,-7,-999,-999,-999,88,81,69,9
2/27/1950,40,23,6,-999,-999,-999,89,82,71,23
2/28/1950,26,19,12,-999,-999,-999,81,72,65,19
3/1/1950,13,0,-13,-999,-999,-999,78,70,60,0
3/2/1950,16,-3,-21,-999,-999,-999,78,72,61,-3
3/3/1950,34,17,-1,-999,-999,-999,92,78,62,17
3/4/1950,46,38,29,-999,-999,-999,89,78,65,38
3/5/1950,41,37,32,-999,-999,-999,89,83,70,37
3/6/1950,47,38,28,-999,-999,-999,97,84,63,38
3/7/1950,29,17,4,-999,-999,-999,92,76,56,17
3/8/1950,16,8,-1,-999,-999,-999,76,67,53,8
3/9/1950,18,10,2,-999,-999,-999,80,67,54,10
3/10/1950,17,11,4,-999,-999,-999,84,72,56,11
3/11/1950,7,1,-5,-999,-999,-999,75,66,56,1
3/12/1950,19,6,-8,-999,-999,-999,79,67,51,6
3/13/1950,23,10,-3,-999,-999,-999,79,70,57,10
3/14/1950,23,16,9,-999,-999,-999,80,66,52,16
3/15/1950,32,18,3,-999,-999,-999,88,75,61,18
3/16/1950,39,28,16,-999,-999,-999,88,81,57,28
3/17/1950,18,14,10,-999,-999,-999,80,68,56,14
3/18/1950,19,12,5,-999,-999,-999,84,70,57,12
3/19/1950,29,19,9,-999,-999,-999,82,75,66,19
3/20/1950,29,22,14,-999,-999,-999,96,83,68,22
3/21/1950,42,29,15,-999,-999,-999,92,81,65,29
3/22/1950,48,34,20,-999,-999,-999,92,78,52,34
3/23/1950,36,33,30,-999,-999,-999,100,93,70,33
3/24/1950,42,36,29,-999,-999,-999,100,91,76,36
3/25/1950,33,30,26,-999,-999,-999,100,94,89,30
3/26/1950,32,31,29,-999,-999,-999,100,100,96,31
3/27/1950,30,26,21,-999,-999,-999,100,89,84,26
3/28/1950,21,11,1,-999,-999,-999,83,78,68,11
3/29/1950,33,17,0,-999,-999,-999,89,84,75,17
3/30/1950,40,31,21,-999,-999,-999,92,81,65,31
3/31/1950,38,31,24,-999,-999,-999,92,82,73,31
4/1/1950,40,30,20,-999,-999,-999,89,85,72,30
4/2/1950,40,35,29,-999,-999,-999,89,80,72,35
4/3/1950,34,28,21,-999,-999,-999,96,83,70,28
4/4/1950,35,30,24,-999,-999,-999,92,77,61,30
4/5/1950,40,30,19,-999,-999,-999,92,76,48,30
4/6/1950,47,39,30,-999,-999,-999,85,70,56,39
4/7/1950,34,25,15,-999,-999,-999,92,80,70,25
4/8/1950,32,25,18,-999,-999,-999,92,83,78,25
4/9/1950,36,33,29,-999,-999,-999,100,91,82,33
4/10/1950,33,31,28,-999,-999,-999,96,85,72,31
4/11/1950,34,29,23,-999,-999,-999,92,78,66,29
4/12/1950,23,16,8,-999,-999,-999,85,74,59,16
4/13/1950,39,24,9,-999,-999,-999,84,74,61,24
4/14/1950,50,37,23,-999,-999,-999,82,70,54,37
4/15/1950,52,43,34,-999,-999,-999,100,79,70,43
4/16/1950,59,46,33,-999,-999,-999,97,75,51,46
4/17/1950,67,50,32,-999,-999,-999,97,67,46,50
4/18/1950,44,40,36,-999,-999,-999,82,71,58,40
4/19/1950,43,38,32,-999,-999,-999,82,68,53,38
4/20/1950,50,39,28,-999,-999,-999,89,60,33,39
4/21/1950,69,51,33,-999,-999,-999,70,50,27,51
4/22/1950,60,46,32,-999,-999,-999,89,59,32,46
4/23/1950,54,46,37,-999,-999,-999,93,79,59,46
4/24/1950,42,35,28,-999,-999,-999,100,94,85,35
4/25/1950,29,26,23,-999,-999,-999,92,82,75,26
4/26/1950,31,26,20,-999,-999,-999,88,79,66,26
4/27/1950,35,30,24,-999,-999,-999,92,75,61,30
4/28/1950,38,31,23,-999,-999,-999,85,69,54,31
4/29/1950,32,29,26,-999,-999,-999,96,86,75,29
4/30/1950,37,30,22,-999,-999,-999,96,84,72,30
