Date ,Temperature_Max,Temperature_Ave,Temperature_Min,DewPoint_Max,DewPoint_Ave,DewPoint_Min,Humidity_Max,Humidity_Ave,Humidity_Min,Apparent_Temperature
1/1/1950,54,41,28,-999,-999,-999,49,35,22,41
1/2/1950,50,39,28,-999,-999,-999,81,40,26,39
1/3/1950,20,6,-8,-999,-999,-999,88,71,51,6
1/4/1950,12,1,-10,-999,-999,-999,83,64,51,1
1/5/1950,19,9,-1,-999,-999,-999,72,58,43,9
1/6/1950,40,21,2,-999,-999,-999,68,45,24,21
1/7/1950,47,31,14,-999,-999,-999,64,37,18,31
1/8/1950,56,39,21,-999,-999,-999,40,21,8,39
1/9/1950,46,37,27,-999,-999,-999,45,28,17,37
1/10/1950,41,28,14,-999,-999,-999,39,33,25,28
1/11/1950,50,39,27,-999,-999,-999,41,24,13,39
1/12/1950,41,32,23,-999,-999,-999,43,33,21,32
1/13/1950,36,28,19,-999,-999,-999,48,32,17,28
1/14/1950,46,35,24,-999,-999,-999,47,34,17,35
1/15/1950,38,30,21,-999,-999,-999,74,34,16,30
1/16/1950,50,36,22,-999,-999,-999,42,25,12,36
1/17/1950,61,52,43,-999,-999,-999,37,25,15,52
1/18/1950,64,44,23,-999,-999,-999,63,30,13,44
1/19/1950,51,39,26,-999,-999,-999,69,51,27,39
1/20/1950,67,54,41,-999,-999,-999,36,26,14,54
1/21/1950,68,52,35,-999,-999,-999,44,27,12,52
1/22/1950,66,50,33,-999,-999,-999,42,27,13,50
1/23/1950,59,47,35,-999,-999,-999,59,37,20,47
1/24/1950,51,37,22,-999,-999,-999,100,78,29,37
1/25/1950,30,20,9,-999,-999,-999,96,70,36,20
1/26/1950,29,17,5,-999,-999,-999,83,62,36,17
1/27/1950,49,32,15,-999,-999,-999,52,33,19,32
1/28/1950,51,44,37,-999,-999,-999,46,27,12,44
1/29/1950,34,19,4,-999,-999,-999,88,72,53,19
1/30/1950,26,14,2,-999,-999,-999,87,75,55,14
1/31/1950,31,18,4,-999,-999,-999,84,66,44,18
2/1/1950,44,28,11,-999,-999,-999,74,54,18,28
2/2/1950,33,21,8,-999,-999,-999,87,60,34,21
2/3/1950,54,34,14,-999,-999,-999,61,36,18,34
2/4/1950,58,41,23,-999,-999,-999,55,37,19,41
2/5/1950,60,49,37,-999,-999,-999,62,35,20,49
2/6/1950,62,46,30,-999,-999,-999,75,44,21,46
2/7/1950,59,47,34,-999,-999,-999,79,43,22,47
2/8/1950,37,30,23,-999,-999,-999,96,72,50,30
2/9/1950,48,33,17,-999,-999,-999,88,34,9,33
2/10/1950,51,41,31,-999,-999,-999,42,21,8,41
2/11/1950,44,34,24,-999,-999,-999,79,51,33,34
2/12/1950,31,27,23,-999,-999,-999,85,73,63,27
2/13/1950,30,22,14,-999,-999,-999,81,63,45,22
2/14/1950,42,28,14,-999,-999,-999,78,55,39,28
2/15/1950,50,35,20,-999,-999,-999,81,45,21,35
2/16/1950,58,42,26,-999,-999,-999,55,36,18,42
2/17/1950,55,42,28,-999,-999,-999,78,38,15,42
2/18/1950,45,36,27,-999,-999,-999,79,63,41,36
2/19/1950,57,42,27,-999,-999,-999,69,33,13,42
2/20/1950,57,45,33,-999,-999,-999,43,28,13,45
2/21/1950,42,31,20,-999,-999,-999,89,60,40,31
2/22/1950,40,26,12,-999,-999,-999,92,56,25,26
2/23/1950,50,40,30,-999,-999,-999,51,32,18,40
2/24/1950,60,45,30,-999,-999,-999,45,29,16,45
2/25/1950,64,49,34,-999,-999,-999,39,27,12,49
2/26/1950,64,49,34,-999,-999,-999,42,29,15,49
2/27/1950,57,47,37,-999,-999,-999,49,38,23,47
