Date ,Temperature_Max,Temperature_Ave,Temperature_Min,DewPoint_Max,DewPoint_Ave,DewPoint_Min,Humidity_Max,Humidity_Ave,Humidity_Min,Apparent_Temperature
1/1/1950,65,61,57,-999,-999,-999,100,93,84,61
1/2/1950,72,68,63,-999,-999,-999,100,87,71,68
1/3/1950,75,54,32,-999,-999,-999,100,82,66,54
1/4/1950,30,24,18,-999,-999,-999,96,82,63,24
1/5/1950,28,25,21,-999,-999,-999,100,89,78,25
1/6/1950,37,32,27,-999,-999,-999,89,76,57,32
1/7/1950,50,36,22,-999,-999,-999,96,68,28,36
1/8/1950,52,41,30,-999,-999,-999,82,64,46,41
1/9/1950,62,52,42,-999,-999,-999,100,92,73,52
1/10/1950,61,54,46,-999,-999,-999,100,62,36,54
1/11/1950,55,49,43,-999,-999,-999,100,75,59,49
1/12/1950,69,61,53,-999,-999,-999,100,96,84,61
1/13/1950,68,61,54,-999,-999,-999,100,67,31,61
1/14/1950,64,55,45,-999,-999,-999,100,69,38,55
1/15/1950,73,57,41,-999,-999,-999,100,69,21,57
1/16/1950,60,47,34,-999,-999,-999,97,73,47,47
1/17/1950,67,58,49,-999,-999,-999,100,94,84,58
1/18/1950,66,48,30,-999,-999,-999,97,90,79,48
1/19/1950,35,32,28,-999,-999,-999,96,90,79,32
1/20/1950,44,39,34,-999,-999,-999,100,93,85,39
1/21/1950,63,54,44,-999,-999,-999,100,90,75,54
1/22/1950,75,67,58,-999,-999,-999,97,81,60,67
1/23/1950,80,72,64,-999,-999,-999,93,78,58,72
1/24/1950,80,74,67,-999,-999,-999,91,77,62,74
1/25/1950,82,68,53,-999,-999,-999,84,71,53,68
1/26/1950,47,39,30,-999,-999,-999,89,70,54,39
1/27/1950,38,33,27,-999,-999,-999,100,87,72,33
1/28/1950,69,52,34,-999,-999,-999,100,86,55,52
1/29/1950,66,50,33,-999,-999,-999,90,73,52,50
1/30/1950,33,31,28,-999,-999,-999,100,89,69,31
1/31/1950,33,32,31,-999,-999,-999,100,97,89,32
2/1/1950,34,32,30,-999,-999,-999,100,95,89,32
2/2/1950,41,37,33,-999,-999,-999,100,86,62,37
2/3/1950,47,40,33,-999,-999,-999,89,75,58,40
2/4/1950,46,43,40,-999,-999,-999,100,93,76,43
2/5/1950,65,56,46,-999,-999,-999,96,89,78,56
2/6/1950,75,66,56,-999,-999,-999,100,82,57,66
2/7/1950,75,65,55,-999,-999,-999,100,84,64,65
2/8/1950,70,59,48,-999,-999,-999,93,80,58,59
2/9/1950,53,48,42,-999,-999,-999,93,83,69,48
2/10/1950,60,49,38,-999,-999,-999,100,85,58,49
2/11/1950,63,58,52,-999,-999,-999,100,96,87,58
2/12/1950,66,60,54,-999,-999,-999,100,89,70,60
2/13/1950,53,45,36,-999,-999,-999,93,81,65,45
2/14/1950,48,42,35,-999,-999,-999,85,66,39,42
2/15/1950,60,48,35,-999,-999,-999,85,63,39,48
2/16/1950,69,54,38,-999,-999,-999,93,64,36,54
2/17/1950,72,60,47,-999,-999,-999,86,61,38,60
2/18/1950,60,52,44,-999,-999,-999,86,66,39,52
2/19/1950,57,46,35,-999,-999,-999,86,64,42,46
2/20/1950,69,56,43,-999,-999,-999,76,60,42,56
2/21/1950,75,59,42,-999,-999,-999,90,75,52,59
2/22/1950,51,42,33,-999,-999,-999,76,60,36,42
2/23/1950,67,52,37,-999,-999,-999,76,47,24,52
2/24/1950,73,59,44,-999,-999,-999,71,48,30,59
2/25/1950,80,66,52,-999,-999,-999,87,58,29,66
2/26/1950,73,63,52,-999,-999,-999,69,57,44,63
2/27/1950,76,65,54,-999,-999,-999,78,61,50,65
