Date ,Temperature_Max,Temperature_Ave,Temperature_Min,DewPoint_Max,DewPoint_Ave,DewPoint_Min,Humidity_Max,Humidity_Ave,Humidity_Min,Apparent_Temperature
1/1/1950,43,39,35,-999,-999,-999,100,96,86,39
1/2/1950,52,36,20,-999,-999,-999,100,97,81,36
1/3/1950,20,7,-6,-999,-999,-999,92,74,53,7
1/4/1950,5,-1,-6,-999,-999,-999,76,60,43,-1
1/5/1950,16,7,-3,-999,-999,-999,79,66,53,7
1/6/1950,31,19,7,-999,-999,-999,84,71,49,19
1/7/1950,26,20,13,-999,-999,-999,81,69,60,20
1/8/1950,44,33,21,-999,-999,-999,85,63,47,33
1/9/1950,43,36,28,-999,-999,-999,86,75,65,36
1/10/1950,44,28,11,-999,-999,-999,82,66,51,28
1/11/1950,38,24,9,-999,-999,-999,76,64,46,24
1/12/1950,43,38,33,-999,-999,-999,100,86,67,38
1/13/1950,39,23,7,-999,-999,-999,100,90,63,23
1/14/1950,39,21,2,-999,-999,-999,72,65,57,21
1/15/1950,44,23,1,-999,-999,-999,93,67,47,23
1/16/1950,32,16,-1,-999,-999,-999,79,59,41,16
1/17/1950,42,24,6,-999,-999,-999,78,66,57,24
1/18/1950,12,6,-1,-999,-999,-999,72,61,46,6
1/19/1950,27,18,9,-999,-999,-999,70,62,55,18
1/20/1950,43,28,13,-999,-999,-999,92,70,48,28
1/21/1950,43,34,24,-999,-999,-999,100,88,65,34
1/22/1950,46,36,26,-999,-999,-999,100,86,56,36
1/23/1950,33,28,23,-999,-999,-999,100,93,81,28
1/24/1950,40,26,11,-999,-999,-999,100,93,73,26
1/25/1950,11,4,-3,-999,-999,-999,87,78,62,4
1/26/1950,0,-5,-9,-999,-999,-999,75,64,56,-5
1/27/1950,30,13,-5,-999,-999,-999,79,64,47,13
1/28/1950,44,26,8,-999,-999,-999,79,70,58,26
1/29/1950,9,4,-1,-999,-999,-999,76,53,40,4
1/30/1950,7,3,-1,-999,-999,-999,84,66,41,3
1/31/1950,11,0,-11,-999,-999,-999,83,75,64,0
2/1/1950,22,9,-4,-999,-999,-999,83,72,54,9
2/2/1950,21,10,-2,-999,-999,-999,79,68,52,10
2/3/1950,35,21,6,-999,-999,-999,82,66,52,21
2/4/1950,35,21,6,-999,-999,-999,89,77,61,21
2/5/1950,40,34,28,-999,-999,-999,100,86,67,34
2/6/1950,43,37,30,-999,-999,-999,100,86,65,37
2/7/1950,35,32,29,-999,-999,-999,100,94,89,32
2/8/1950,35,31,27,-999,-999,-999,100,96,88,31
2/9/1950,46,34,21,-999,-999,-999,92,76,56,34
2/10/1950,42,36,30,-999,-999,-999,96,76,55,36
2/11/1950,31,27,23,-999,-999,-999,92,86,78,27
2/12/1950,33,29,25,-999,-999,-999,96,88,75,29
2/13/1950,26,24,21,-999,-999,-999,96,90,84,24
2/14/1950,26,24,21,-999,-999,-999,92,86,81,24
2/15/1950,25,18,10,-999,-999,-999,92,79,65,18
2/16/1950,27,15,2,-999,-999,-999,84,67,46,15
2/17/1950,43,26,9,-999,-999,-999,89,69,50,26
2/18/1950,34,23,12,-999,-999,-999,92,80,62,23
2/19/1950,30,17,3,-999,-999,-999,84,74,56,17
2/20/1950,48,31,14,-999,-999,-999,86,73,58,31
2/21/1950,37,29,21,-999,-999,-999,100,85,65,29
2/22/1950,32,23,13,-999,-999,-999,80,73,61,23
2/23/1950,31,21,10,-999,-999,-999,92,83,69,21
2/24/1950,10,5,-1,-999,-999,-999,79,68,52,5
2/25/1950,13,5,-3,-999,-999,-999,83,70,60,5
2/26/1950,20,8,-5,-999,-999,-999,79,60,41,8
2/27/1950,45,29,12,-999,-999,-999,89,72,60,29
2/28/1950,41,33,25,-999,-999,-999,100,80,70,33
3/1/1950,25,16,7,-999,-999,-999,81,70,60,16
3/2/1950,22,12,2,-999,-999,-999,70,57,39,12
3/3/1950,42,31,19,-999,-999,-999,92,77,60,31
