Date ,Temperature_Max,Temperature_Ave,Temperature_Min,DewPoint_Max,DewPoint_Ave,DewPoint_Min,Humidity_Max,Humidity_Ave,Humidity_Min,Apparent_Temperature
1/1/1950,36,31,25,-999,-999,-999,96,88,78,31
1/2/1950,28,23,18,-999,-999,-999,92,76,63,23
1/3/1950,33,25,16,-999,-999,-999,92,76,62,25
1/4/1950,32,29,25,-999,-999,-999,92,78,69,29
1/5/1950,41,34,26,-999,-999,-999,93,84,71,34
1/6/1950,46,40,34,-999,-999,-999,97,90,79,40
1/7/1950,37,35,33,-999,-999,-999,97,95,89,35
1/8/1950,39,36,33,-999,-999,-999,100,94,86,36
1/9/1950,43,39,34,-999,-999,-999,97,89,82,39
1/10/1950,43,39,35,-999,-999,-999,89,86,79,39
1/11/1950,38,36,33,-999,-999,-999,96,88,79,36
1/12/1950,36,34,32,-999,-999,-999,96,85,78,34
1/13/1950,36,25,14,-999,-999,-999,96,83,73,25
1/14/1950,24,17,9,-999,-999,-999,88,76,65,17
1/15/1950,35,28,20,-999,-999,-999,96,89,75,28
1/16/1950,21,15,8,-999,-999,-999,88,77,65,15
1/17/1950,22,15,8,-999,-999,-999,84,72,57,15
1/18/1950,22,18,13,-999,-999,-999,89,73,59,18
1/19/1950,30,24,18,-999,-999,-999,96,88,74,24
1/20/1950,34,31,28,-999,-999,-999,96,88,78,31
1/21/1950,48,41,34,-999,-999,-999,100,94,89,41
1/22/1950,48,43,37,-999,-999,-999,100,88,77,43
1/23/1950,42,36,30,-999,-999,-999,100,84,60,36
1/24/1950,31,25,18,-999,-999,-999,92,81,66,25
1/25/1950,27,20,12,-999,-999,-999,85,74,60,20
1/26/1950,36,29,21,-999,-999,-999,93,84,75,29
1/27/1950,22,20,17,-999,-999,-999,92,78,65,20
1/28/1950,25,18,10,-999,-999,-999,88,74,63,18
1/29/1950,20,14,8,-999,-999,-999,84,74,65,14
1/30/1950,25,18,10,-999,-999,-999,77,60,39,18
1/31/1950,16,7,-2,-999,-999,-999,79,68,53,7
2/1/1950,25,13,1,-999,-999,-999,80,63,48,13
2/2/1950,18,8,-3,-999,-999,-999,83,67,51,8
2/3/1950,20,12,4,-999,-999,-999,77,61,46,12
2/4/1950,30,24,18,-999,-999,-999,89,81,68,24
2/5/1950,36,31,26,-999,-999,-999,89,82,75,31
2/6/1950,42,37,32,-999,-999,-999,96,86,73,37
2/7/1950,47,42,37,-999,-999,-999,93,79,58,42
2/8/1950,47,42,37,-999,-999,-999,96,84,61,42
2/9/1950,46,39,32,-999,-999,-999,100,92,79,39
2/10/1950,45,38,31,-999,-999,-999,100,91,76,38
2/11/1950,45,42,38,-999,-999,-999,93,85,71,42
2/12/1950,43,40,37,-999,-999,-999,97,89,79,40
