Date ,Temperature_Max,Temperature_Ave,Temperature_Min,DewPoint_Max,DewPoint_Ave,DewPoint_Min,Humidity_Max,Humidity_Ave,Humidity_Min,Apparent_Temperature
1/1/1950,38,34,29,-999,-999,-999,89,79,63,34
1/2/1950,45,40,35,-999,-999,-999,100,91,82,40
1/3/1950,62,52,42,-999,-999,-999,89,81,72,52
1/4/1950,67,57,46,-999,-999,-999,96,74,56,57
1/5/1950,48,41,34,-999,-999,-999,89,83,71,41
1/6/1950,35,30,24,-999,-999,-999,100,93,88,30
1/7/1950,27,22,17,-999,-999,-999,96,86,78,22
1/8/1950,17,8,-2,-999,-999,-999,77,63,49,8
1/9/1950,41,24,6,-999,-999,-999,82,66,53,24
1/10/1950,57,43,29,-999,-999,-999,97,80,44,43
1/11/1950,38,28,17,-999,-999,-999,84,68,52,28
1/12/1950,39,25,11,-999,-999,-999,77,60,38,25
1/13/1950,60,46,32,-999,-999,-999,97,82,64,46
1/14/1950,60,46,31,-999,-999,-999,83,61,31,46
1/15/1950,40,33,25,-999,-999,-999,89,72,46,33
1/16/1950,47,37,26,-999,-999,-999,86,53,34,37
1/17/1950,36,30,23,-999,-999,-999,66,55,43,30
1/18/1950,47,33,18,-999,-999,-999,88,64,40,33
1/19/1950,22,16,10,-999,-999,-999,88,65,45,16
1/20/1950,18,12,6,-999,-999,-999,74,62,50,12
1/21/1950,24,17,10,-999,-999,-999,85,77,58,17
1/22/1950,39,31,23,-999,-999,-999,96,89,81,31
1/23/1950,37,34,31,-999,-999,-999,100,99,96,34
1/24/1950,48,39,30,-999,-999,-999,100,95,89,39
1/25/1950,70,55,39,-999,-999,-999,97,74,53,55
1/26/1950,68,52,35,-999,-999,-999,93,77,59,52
1/27/1950,36,27,18,-999,-999,-999,79,64,39,27
1/28/1950,39,28,16,-999,-999,-999,77,64,42,28
1/29/1950,58,47,35,-999,-999,-999,89,76,67,47
1/30/1950,35,27,19,-999,-999,-999,76,54,41,27
1/31/1950,26,21,16,-999,-999,-999,88,80,45,21
2/1/1950,28,22,15,-999,-999,-999,84,73,49,22
2/2/1950,35,31,26,-999,-999,-999,100,88,59,31
2/3/1950,30,25,19,-999,-999,-999,89,72,53,25
2/4/1950,33,26,19,-999,-999,-999,82,68,60,26
2/5/1950,24,14,4,-999,-999,-999,73,57,41,14
2/6/1950,33,27,20,-999,-999,-999,100,84,65,27
2/7/1950,25,13,1,-999,-999,-999,96,72,56,13
2/8/1950,30,12,-7,-999,-999,-999,72,57,44,12
2/9/1950,46,38,30,-999,-999,-999,97,82,61,38
2/10/1950,38,35,31,-999,-999,-999,92,76,64,35
2/11/1950,44,39,33,-999,-999,-999,85,70,47,39
2/12/1950,36,31,26,-999,-999,-999,92,78,59,31
2/13/1950,31,27,23,-999,-999,-999,96,84,69,27
2/14/1950,35,30,25,-999,-999,-999,96,86,75,30
2/15/1950,34,33,31,-999,-999,-999,100,94,85,33
2/16/1950,37,34,30,-999,-999,-999,100,83,62,34
